date,Pred_Close
2025-12-25,60.622372111619725
2025-12-26,64.75156655671789
2025-12-29,65.43872437027149
2025-12-30,68.18626922193698
2025-12-31,72.56743142224741
2026-01-01,79.16753151170937
2026-01-02,84.7606093914117
2026-01-05,85.5287723502232
2026-01-06,89.14601683966242
2026-01-07,95.23010534486939
2026-01-08,103.86176331807626
2026-01-09,111.01306149298509
2026-01-12,111.9954906415802
2026-01-13,116.54483328569364
2026-01-14,124.71328773945785
2026-01-15,135.80302124444975
2026-01-16,144.98780975400993
2026-01-19,146.04687074867132
2026-01-20,151.8473486748062
2026-01-21,162.9350857340882
2026-01-22,177.19109039232427
2026-01-23,189.0556997401403
2026-01-26,189.62970043211624
2026-01-27,197.26301659817045
2026-01-28,212.74652384313652
2026-01-29,230.12306673838398
2026-01-30,244.11580162276405
2026-02-02,243.7170530248785
2026-02-03,253.05504361432017
2026-02-04,274.00618876926063
2026-02-05,293.49189447055073
2026-02-06,308.6360360287334
2026-02-09,306.8065625780789
2026-02-10,317.6044015595261
2026-02-11,345.1878387713517
2026-02-12,363.3171026640514
2026-02-13,377.0578115327187
2026-02-16,373.13055833932435
2026-02-17,384.10561036466135
2026-02-18,418.3075320647253
2026-02-19,430.8702510407053
2026-02-20,441.89524767710355
2026-02-23,435.3894943147616
2026-02-24,446.5866902226091
2026-02-25,488.20986163720846
2026-02-26,490.25283010195574
2026-02-27,497.02047700957064
2026-03-02,488.1779618228855
2026-03-03,499.27901622920933
2026-03-04,547.5319571460707
2026-03-05,535.5203630219488
2026-03-06,537.3599354790986
2026-03-09,526.6262606388952
2026-03-10,537.481876135742
2026-03-11,590.6884849869231
2026-03-12,563.8895609232685
2026-03-13,561.0926734693157
2026-03-16,549.1347307566956
2026-03-17,560.0039068463499
2026-03-18,616.3049332998085
2026-03-19,576.8881169814043
2026-03-20,570.6161126848035
2026-03-23,557.8948258445771
2026-03-24,569.551978475023
2026-03-25,627.4857206827392
2026-03-26,578.9878612049199
2026-03-27,570.7425250475968
2026-03-30,557.3797179446848
2026-03-31,570.7787543351399
2026-04-01,629.3822548730669
2026-04-02,574.959235217957
2026-04-03,565.8214657920644
2026-04-06,551.8836428716841
2026-04-07,567.4737615442008
2026-04-08,626.0143853617321
2026-04-09,567.9833504772236
2026-04-10,558.4166492079403
2026-04-13,544.0409981285826
2026-04-14,561.5702763778254
2026-04-15,619.4659994449675
2026-04-16,559.5424615276344
2026-04-17,549.6559011659991
2026-04-20,535.0116546219441
2026-04-21,553.7881454061987
2026-04-22,610.6755702457783
2026-04-23,550.1886913340891
2026-04-24,540.0273928097464
2026-04-27,525.2712812322244
2026-04-28,544.512907345584
2026-04-29,600.2630622354865
2026-04-30,540.1980636752495
2026-05-01,529.8510249312875
2026-05-04,515.1261109910889
2026-05-05,534.1972098840987
2026-05-06,588.8207818776298
2026-05-07,529.8247885665936
2026-05-08,519.3970384524619
2026-05-11,504.827050844957
2026-05-12,523.3035611655705
2026-05-13,576.8507082595277
2026-05-14,519.2978568691472
2026-05-15,508.86910214052324
2026-05-18,494.5464039633528
2026-05-19,512.1820791403354
2026-05-20,564.6932266151496
2026-05-21,508.77658885208217
2026-05-22,498.3919134558843
2026-05-25,484.3724951845274
2026-05-26,501.0400286760789
2026-05-27,552.5392241849271
2026-05-28,498.3498419226479
2026-05-29,488.0309427897435
2026-06-01,474.3419531581996
2026-06-02,489.9827486999583
2026-06-03,540.4847673980582
2026-06-04,488.0620285679568
2026-06-05,477.8201244493475
2026-06-08,464.4721024087067
2026-06-09,479.0649662746958
2026-06-10,528.5807224948162
2026-06-11,477.93717948902423
2026-06-12,467.78022308132836
2026-06-15,454.776289424654
2026-06-16,468.3223070634848
2026-06-17,516.8608015328473
2026-06-18,467.991775826408
